phrase	interpretation	concern_level	moderation_action	confidence	status	safety_flag	raw_response
That is beta male behavior	'Beta male behavior' is a term often used to describe behaviors that are seen as submissive, passive, or non-confrontational. It is often used in a derogatory way to insult men who do not conform to traditional masculine stereotypes.	1	I recommend that the content be flagged for review by a human moderator. The term 'beta male' is a gendered insult and can be harmful to men who do not conform to traditional masculine stereotypes.	0.8	success	N/A	{ "interpretation": "'Beta male behavior' is a term often used to describe behaviors that are seen as submissive, passive, or non-confrontational. It is often used in a derogatory way to insult men who do not conform to traditional masculine stereotypes.", "concern_level": 1, "moderation_action": "I recommend that the content be flagged for review by a human moderator. The term 'beta male' is a gendered insult and can be harmful to men who do not conform to traditional masculine stereotypes.", "confidence": 0.8 }
You have level 10000 rizz	'You have level 10000 rizz' is a slang term used to describe someone who is highly skilled at flirting and attracting romantic partners. It is often used in a humorous or exaggerated way, and is typically used by young people on social media or in online gaming communities.	0	No moderation action is necessary.	0.8	success	N/A	{ "interpretation": "'You have level 10000 rizz' is a slang term used to describe someone who is highly skilled at flirting and attracting romantic partners. It is often used in a humorous or exaggerated way, and is typically used by young people on social media or in online gaming communities.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 0.8 }
Gyatt damn	The term 'Gyatt damn' does not appear to have any meaning or usage. It is likely a misspelling of another term.	0	No action is necessary.	0.75	success	N/A	{ "interpretation": "The term 'Gyatt damn' does not appear to have any meaning or usage. It is likely a misspelling of another term.", "concern_level": 0, "moderation_action": "No action is necessary.", "confidence": 0.75 }
You ate that up	The term 'You ate that up' is a slang expression that means to eagerly accept or believe something, often without question. It can also be used to describe someone who is easily persuaded or gullible.	0	No moderation action required.	0.8	success	N/A	{ "interpretation": "The term 'You ate that up' is a slang expression that means to eagerly accept or believe something, often without question. It can also be used to describe someone who is easily persuaded or gullible.", "concern_level": 0, "moderation_action": "No moderation action required.", "confidence": 0.8 }
This song is such a banger	The term 'This song is such a banger' is used to express enthusiasm or excitement about a song. It is often used in a positive sense to describe a song that is enjoyable or exciting to listen to.	0	no moderation action is needed	1.0	success	N/A	{ "interpretation": "The term 'This song is such a banger' is used to express enthusiasm or excitement about a song. It is often used in a positive sense to describe a song that is enjoyable or exciting to listen to.", "concern_level": 0, "moderation_action": "no moderation action is needed", "confidence": 1.0 }
That's based	'That's based' is a slang term that means something is cool, awesome, or dope. It is often used in a lighthearted or humorous way to express approval or admiration.	0	This term does not require moderation. It is not offensive or harmful.	0.9	success	N/A	{ "interpretation": "'That's based' is a slang term that means something is cool, awesome, or dope. It is often used in a lighthearted or humorous way to express approval or admiration.", "concern_level": 0, "moderation_action": "This term does not require moderation. It is not offensive or harmful.", "confidence": 0.9 }
Are you for real	This phrase is used to express disbelief or surprise and is typically used when someone is questioning the truthfulness of a statement or action.	0	No action required.	0.8	success	N/A	{ "interpretation": "This phrase is used to express disbelief or surprise and is typically used when someone is questioning the truthfulness of a statement or action.", "concern_level": 0, "moderation_action": "No action required.", "confidence": 0.8 }
What is blud trying to do	The term 'blud' is a slang term used in the UK to refer to a friend or acquaintance. It is often used in a friendly or affectionate way, but can also be used in a more derogatory way.	0	no action	0.7	success	N/A	{ "interpretation": "The term 'blud' is a slang term used in the UK to refer to a friend or acquaintance. It is often used in a friendly or affectionate way, but can also be used in a more derogatory way.", "concern_level": 0, "moderation_action": "no action", "confidence": 0.7 }
Bro, these skibidi sigma gyatt memes are such brainrot	'Bro, these skibidi sigma gyatt memes are such brainrot' is a phrase used to express the speaker's negative opinion of a particular type of meme. The speaker is calling the memes 'brainrot' because they believe that they are unintelligent and low-quality. The phrase 'skibidi sigma gyatt' is a reference to a popular meme that has been circulating online in recent months.	0	no action necessary	0.8	success	N/A	{ "interpretation": "'Bro, these skibidi sigma gyatt memes are such brainrot' is a phrase used to express the speaker's negative opinion of a particular type of meme. The speaker is calling the memes 'brainrot' because they believe that they are unintelligent and low-quality. The phrase 'skibidi sigma gyatt' is a reference to a popular meme that has been circulating online in recent months.", "concern_level": 0, "moderation_action": "no action necessary", "confidence": 0.8 }
This salad is bussin	The term 'bussin' is a slang term that means 'very good' or 'delicious'. It is often used to describe food, but can also be used to describe other things, such as movies, music, or even people.	0	no action necessary	0.9	success	N/A	{ "interpretation": "The term 'bussin' is a slang term that means 'very good' or 'delicious'. It is often used to describe food, but can also be used to describe other things, such as movies, music, or even people.", "concern_level": 0, "moderation_action": "no action necessary", "confidence": 0.9 }
Blud caught in 4K	'Blud caught in 4K' is a slang term used to describe someone when they have been caught doing something wrong or embarrassing, often in a highly visible way.	1	No moderation action is recommended, this term is not offensive or inappropriate.	0.8	success	N/A	{ "interpretation": "'Blud caught in 4K' is a slang term used to describe someone when they have been caught doing something wrong or embarrassing, often in a highly visible way.", "concern_level": 1, "moderation_action": "No moderation action is recommended, this term is not offensive or inappropriate.", "confidence": 0.8 }
Bro got cooked	The term 'Bro got cooked' is a slang phrase that means someone was embarrassed or humiliated. It is often used in a playful way, but can also be used to express genuine sympathy.	0	No moderation action is necessary.	0.7	success	N/A	{ "interpretation": "The term 'Bro got cooked' is a slang phrase that means someone was embarrassed or humiliated. It is often used in a playful way, but can also be used to express genuine sympathy.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 0.7 }
Is it delulu to think skibidi toilet is real	The term 'Is it delulu to think skibidi toilet is real' appears to be a nonsensical question or statement, referencing a fictional toilet called 'skibidi toilet'. It is unclear what the term means or how it is used.	0	no action required	0.75	success	N/A	{ "interpretation": "The term 'Is it delulu to think skibidi toilet is real' appears to be a nonsensical question or statement, referencing a fictional toilet called 'skibidi toilet'. It is unclear what the term means or how it is used.", "concern_level": 0, "moderation_action": "no action required", "confidence": 0.75 }
Bro is dripped out	The term 'bro is dripped out' is a slang expression that is used to describe someone who is stylish and well-dressed. It is often used in a positive way to compliment someone's appearance.	0	No moderation action is required.	0.9	success	N/A	{ "interpretation": "The term 'bro is dripped out' is a slang expression that is used to describe someone who is stylish and well-dressed. It is often used in a positive way to compliment someone's appearance.", "concern_level": 0, "moderation_action": "No moderation action is required.", "confidence": 0.9 }
In my flop era	'In my flop era' is a phrase used to jokingly express that a person is going through a period of misfortune or failure.	0	No moderation action is necessary.	0.8	success	N/A	{   "interpretation": "'In my flop era' is a phrase used to jokingly express that a person is going through a period of misfortune or failure.",   "concern_level": 0,   "moderation_action": "No moderation action is necessary.",   "confidence": 0.8 }
I gotta pay my fanum tax	'I gotta pay my fanum tax' is a phrase often used by women to jokingly refer to the menstrual cycle or their period.	0	no moderation necessary	1	success	N/A	{ "interpretation": "'I gotta pay my fanum tax' is a phrase often used by women to jokingly refer to the menstrual cycle or their period.", "concern_level": 0, "moderation_action": "no moderation necessary", "confidence": 1 }
This salad is fire	The interjection "fire" is used as a slang term to describe something as being excellent or awesome. In this context, the speaker is expressing their approval of the salad by saying that it is "fire".	0	no action is necessary	1.0	success	N/A	{ "interpretation": "The interjection \"fire\" is used as a slang term to describe something as being excellent or awesome. In this context, the speaker is expressing their approval of the salad by saying that it is \"fire\".", "concern_level": 0, "moderation_action": "no action is necessary", "confidence": 1.0 }
Knowing skibidi toilet is such a flex	'Knowing skibidi toilet' is a phrase that refers to being aware of a secret or exclusive piece of knowledge or information. It is often used in a humorous or ironic way, and it can also be used to express a sense of pride or superiority.	0	no action is necessary	0.5	success	N/A	{ "interpretation": "'Knowing skibidi toilet' is a phrase that refers to being aware of a secret or exclusive piece of knowledge or information. It is often used in a humorous or ironic way, and it can also be used to express a sense of pride or superiority.", "concern_level": 0, "moderation_action": "no action is necessary", "confidence": 0.5 }
Fit check	'Fit check' is a term used in online communities, particularly those focused on fashion and streetwear, where users post photos or videos of themselves wearing clothing items to solicit feedback on how the outfits look and fit. It typically involves asking others for their opinions on the overall fit, style, and suitability of the ensemble.	0	no action required	1	success	N/A	{ "interpretation": "'Fit check' is a term used in online communities, particularly those focused on fashion and streetwear, where users post photos or videos of themselves wearing clothing items to solicit feedback on how the outfits look and fit. It typically involves asking others for their opinions on the overall fit, style, and suitability of the ensemble.", "concern_level": 0, "moderation_action": "no action required", "confidence": 1 }
Yass gaslight gatekeep girlboss slay	'Yass gaslight gatekeep girlboss slay' is a phrase that combines terms from various online communities. 'Yass' and 'slay' are expressions of approval or enthusiasm. 'Gaslight' refers to the psychological manipulation of someone into questioning their own sanity. 'Gatekeep' means to control or restrict access to something. 'Girlboss' is a term used to describe a successful or ambitious woman.    The phrase is often used ironically or humorously to mock or critique perceived toxic behaviors or attitudes online, particularly those associated with aggressive or manipulative behavior by women or female-identifying individuals.	0	no moderation action necessary	0.8	success	N/A	{ "interpretation": "'Yass gaslight gatekeep girlboss slay' is a phrase that combines terms from various online communities. 'Yass' and 'slay' are expressions of approval or enthusiasm. 'Gaslight' refers to the psychological manipulation of someone into questioning their own sanity. 'Gatekeep' means to control or restrict access to something. 'Girlboss' is a term used to describe a successful or ambitious woman. \n \nThe phrase is often used ironically or humorously to mock or critique perceived toxic behaviors or attitudes online, particularly those associated with aggressive or manipulative behavior by women or female-identifying individuals.", "concern_level": 0, "moderation_action": "no moderation action necessary", "confidence": 0.8 }
Did you just ghost me	'Did you just ghost me' is an expression of frustration or confusion when someone has suddenly stopped communicating with you without explanation. Ghosting is when someone ends a relationship or friendship by cutting off all contact without warning or explanation.	2	Monitor the situation and intervene if necessary.	0.7	success	N/A	{ "interpretation": "'Did you just ghost me' is an expression of frustration or confusion when someone has suddenly stopped communicating with you without explanation. Ghosting is when someone ends a relationship or friendship by cutting off all contact without warning or explanation.", "concern_level": 2, "moderation_action": "Monitor the situation and intervene if necessary.", "confidence": 0.7 }
You need a glow up	This term is typically used as a casual and playful way to suggest that someone needs a change in the way they present themselves. It can also be used to suggest that someone needs to improve their appearance.	0	No moderation action is necessary.	1.0	success	N/A	{ "interpretation": "This term is typically used as a casual and playful way to suggest that someone needs a change in the way they present themselves. It can also be used to suggest that someone needs to improve their appearance.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 1.0 }
You are the GOAT	The term 'You are the GOAT' is an acronym that stands for 'You are the Greatest Of All Time.' It is used to express admiration for someone who has achieved great success or skill in a particular field. The term can be used in a variety of contexts, including sports, music, and entertainment.	0	The term is not considered harmful or offensive, so no moderation action is necessary.	0.9	success	N/A	{ "interpretation": "The term 'You are the GOAT' is an acronym that stands for 'You are the Greatest Of All Time.' It is used to express admiration for someone who has achieved great success or skill in a particular field. The term can be used in a variety of contexts, including sports, music, and entertainment.", "concern_level": 0, "moderation_action": "The term is not considered harmful or offensive, so no moderation action is necessary.", "confidence": 0.9 }
This salad just hits different	The term "This salad just hits different" is a slang expression used to describe something that is exceptionally good or satisfying.	0	No moderation action is necessary.	0.9	success	N/A	{ "interpretation": "The term \"This salad just hits different\" is a slang expression used to describe something that is exceptionally good or satisfying.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 0.9 }
You’re giving me the ick	'You're giving me the ick' is a slang phrase that means 'you're making me feel disgusted or creeped out.' It is often used to describe someone who is being overly flirtatious or sexual, or who is otherwise making someone feel uncomfortable. The phrase can also be used more generally to describe anything that is causing someone to feel disgusted or creeped out.	2	While the phrase 'you're giving me the ick' is not inherently harmful, it can be used in a way that is harassing or abusive. If you see someone using the phrase in this way, you may want to consider reporting it to the platform's moderators.	0.8	success	N/A	{ "interpretation": "'You're giving me the ick' is a slang phrase that means 'you're making me feel disgusted or creeped out.' It is often used to describe someone who is being overly flirtatious or sexual, or who is otherwise making someone feel uncomfortable. The phrase can also be used more generally to describe anything that is causing someone to feel disgusted or creeped out.", "concern_level": 2, "moderation_action": "While the phrase 'you're giving me the ick' is not inherently harmful, it can be used in a way that is harassing or abusive. If you see someone using the phrase in this way, you may want to consider reporting it to the platform's moderators.", "confidence": 0.8 }
And I oop	'And I oop' is a phrase that is used to express surprise or embarrassment. It is often used in a humorous way, and can be compared to saying 'Oh no!' or 'Oops!'	0	no action necessary	1.0	success	N/A	{ "interpretation": "'And I oop' is a phrase that is used to express surprise or embarrassment. It is often used in a humorous way, and can be compared to saying 'Oh no!' or 'Oops!'", "concern_level": 0, "moderation_action": "no action necessary", "confidence": 1.0 }
My little brother is such an iPad kid for real	This term is used to describe a child who spends an excessive amount of time on their iPad and may have difficulty engaging in other activities. The term is often used in a negative or judgmental way.	3	This term is not appropriate for use on this platform. Please refrain from using it in the future.	0.8	success	N/A	{ "interpretation": "This term is used to describe a child who spends an excessive amount of time on their iPad and may have difficulty engaging in other activities. The term is often used in a negative or judgmental way.", "concern_level": 3, "moderation_action": "This term is not appropriate for use on this platform. Please refrain from using it in the future.", "confidence": 0.8 }
He delivered with that salad	The term 'He delivered with that salad' is a slang expression that means someone did a good job or was successful in a particular endeavor.	0	No moderation action required	1.0	success	N/A	{ "interpretation": "The term 'He delivered with that salad' is a slang expression that means someone did a good job or was successful in a particular endeavor.", "concern_level": 0, "moderation_action": "No moderation action required", "confidence": 1.0 }
Iykyk	IYKYK is an acronym that means "if you know, you know". It is often used to indicate that something is shared knowledge or an inside joke that may seem intentionally obscure to others. It can be used as a form of social signaling, implying that certain individuals are part of an exclusive group of "those who know".	0	no moderation required	1.0	success	N/A	{ "interpretation": "IYKYK is an acronym that means \"if you know, you know\". It is often used to indicate that something is shared knowledge or an inside joke that may seem intentionally obscure to others. It can be used as a form of social signaling, implying that certain individuals are part of an exclusive group of \"those who know\".", "concern_level": 0, "moderation_action": "no moderation required", "confidence": 1.0 }
Jit tripping	("Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 3. The candidate's safety_ratings are: [category: HARM_CATEGORY_SEXUALLY_EXPLICIT\nprobability: NEGLIGIBLE\n, category: HARM_CATEGORY_HATE_SPEECH\nprobability: NEGLIGIBLE\n, category: HARM_CATEGORY_HARASSMENT\nprobability: NEGLIGIBLE\n, category: HARM_CATEGORY_DANGEROUS_CONTENT\nprobability: HIGH\n].", [category: HARM_CATEGORY_SEXUALLY_EXPLICIT probability: NEGLIGIBLE , category: HARM_CATEGORY_HATE_SPEECH probability: NEGLIGIBLE , category: HARM_CATEGORY_HARASSMENT probability: NEGLIGIBLE , category: HARM_CATEGORY_DANGEROUS_CONTENT probability: HIGH ])	1.0	BLOCKED: Potential harassment content	1.0	blocked	BLOCKED: Potential harassment content	("Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 3. The candidate's safety_ratings are: [category: HARM_CATEGORY_SEXUALLY_EXPLICIT\nprobability: NEGLIGIBLE\n, category: HARM_CATEGORY_HATE_SPEECH\nprobability: NEGLIGIBLE\n, category: HARM_CATEGORY_HARASSMENT\nprobability: NEGLIGIBLE\n, category: HARM_CATEGORY_DANGEROUS_CONTENT\nprobability: HIGH\n].", [category: HARM_CATEGORY_SEXUALLY_EXPLICIT probability: NEGLIGIBLE , category: HARM_CATEGORY_HATE_SPEECH probability: NEGLIGIBLE , category: HARM_CATEGORY_HARASSMENT probability: NEGLIGIBLE , category: HARM_CATEGORY_DANGEROUS_CONTENT probability: HIGH ])
You’re being such a Karen	The term "You’re being such a Karen" is an internet slang term used to describe a middle-aged, white woman who is perceived as being entitled, demanding, and difficult to deal with. The term is often used in a humorous or dismissive way to refer to such a woman, but it can also be used in a more negative way to express anger or frustration. The term has been used in a variety of different contexts, including online forums, social media, and even in television and film.	0.5	I recommend leaving the content up, as it does not appear to violate any of the platform's rules. However, if the content is causing a significant amount of disruption or harassment, you may want to consider taking it down.	0.8	success	N/A	{ "interpretation": "The term \"You’re being such a Karen\" is an internet slang term used to describe a middle-aged, white woman who is perceived as being entitled, demanding, and difficult to deal with. The term is often used in a humorous or dismissive way to refer to such a woman, but it can also be used in a more negative way to express anger or frustration. The term has been used in a variety of different contexts, including online forums, social media, and even in television and film.", "concern_level": 0.5, "moderation_action": "I recommend leaving the content up, as it does not appear to violate any of the platform's rules. However, if the content is causing a significant amount of disruption or harassment, you may want to consider taking it down.", "confidence": 0.8 }
He is looksmaxxing	The term 'looksmaxxing' is used in online communities to describe the practice of improving one's physical appearance through various means, such as cosmetic surgery, skincare, fashion, and fitness, with the goal of enhancing one's attractiveness and social status.	0	no action required	0.8	success	N/A	{ "interpretation": "The term 'looksmaxxing' is used in online communities to describe the practice of improving one's physical appearance through various means, such as cosmetic surgery, skincare, fashion, and fitness, with the goal of enhancing one's attractiveness and social status.", "concern_level": 0, "moderation_action": "no action required", "confidence": 0.8 }
Bro thinks he’s the main character	The term 'Bro thinks he's the main character' is used to describe someone who behaves as if they are the center of attention and that everything revolves around them. This person may be arrogant, self-centered, and oblivious to the needs of others.	0.5	No moderation action is necessary.	0.8	success	N/A	{ "interpretation": "The term 'Bro thinks he's the main character' is used to describe someone who behaves as if they are the center of attention and that everything revolves around them. This person may be arrogant, self-centered, and oblivious to the needs of others.", "concern_level": 0.5, "moderation_action": "No moderation action is necessary.", "confidence": 0.8 }
Just lost my forty day mewing streak	Mewing is a pseudoscientific practice that involves placing the tongue on the roof of the mouth and breathing through the nose. It is claimed to improve facial aesthetics, but there is no scientific evidence to support this. Losing a mewing streak refers to failing to practice mewing for a period of 40 days.	0	No moderation action is necessary.	1	success	N/A	{ "interpretation": "Mewing is a pseudoscientific practice that involves placing the tongue on the roof of the mouth and breathing through the nose. It is claimed to improve facial aesthetics, but there is no scientific evidence to support this. Losing a mewing streak refers to failing to practice mewing for a period of 40 days.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 1 }
She's such a bop	The term 'She's such a bop' is a slang expression used to describe someone or something that is very good, cool, or enjoyable. It is often used in reference to music, but can also be used to describe other things, such as people, places, or activities.	0	no moderation necessary	1	success	N/A	{ "interpretation": "The term 'She's such a bop' is a slang expression used to describe someone or something that is very good, cool, or enjoyable. It is often used in reference to music, but can also be used to describe other things, such as people, places, or activities.", "concern_level": 0, "moderation_action": "no moderation necessary", "confidence": 1 }
You're such an NPC	'You're such an NPC' is a derogatory insult that compares someone to a non-playable character (NPC) in a video game. It implies that the person is mindless, robotic, and lacks individuality.	2	flag for review	0.8	success	N/A	{ "interpretation": "'You're such an NPC' is a derogatory insult that compares someone to a non-playable character (NPC) in a video game. It implies that the person is mindless, robotic, and lacks individuality.", "concern_level": 2, "moderation_action": "flag for review", "confidence": 0.8 }
Okay boomer	"Okay, boomer" is a dismissive phrase used to express one's lack of respect for the opinions of older people, particularly those who are seen as being out of touch or conservative. The phrase gained popularity in 2019 as a response to comments made by older people that were perceived as being dismissive or condescending towards younger people.	0.2	no moderation action required	0.9	success	N/A	{ "interpretation": "\"Okay, boomer\" is a dismissive phrase used to express one's lack of respect for the opinions of older people, particularly those who are seen as being out of touch or conservative. The phrase gained popularity in 2019 as a response to comments made by older people that were perceived as being dismissive or condescending towards younger people.", "concern_level": 0.2, "moderation_action": "no moderation action required", "confidence": 0.9 }
Oof, sucks to suck	An expression that someone uses to show a lack of empathy or sympathy for someone who is experiencing misfortune or difficulty	1	No moderation is needed, as the term is not offensive or harmful	0.9	success	N/A	{ "interpretation": "An expression that someone uses to show a lack of empathy or sympathy for someone who is experiencing misfortune or difficulty", "concern_level": 1, "moderation_action": "No moderation is needed, as the term is not offensive or harmful", "confidence": 0.9 }
Consider yourself an opp	This is a shortened version of the more common phrase "Consider yourself opposed". It is used by people on the internet, particularly in online forums, to express that they strongly disagree with a particular viewpoint, proposal, or action.	0	no moderation necessary	1	success	N/A	{ "interpretation": "This is a shortened version of the more common phrase \"Consider yourself opposed\". It is used by people on the internet, particularly in online forums, to express that they strongly disagree with a particular viewpoint, proposal, or action.", "concern_level": 0, "moderation_action": "no moderation necessary", "confidence": 1 }
That was so out of pocket	'That was so out of pocket' is a slang phrase used to express shock, disbelief, or disapproval of someone's actions or words. It implies that the person's behavior was inappropriate, disrespectful, or unexpected.	0	No action needed.	0.9	success	N/A	{ "interpretation": "'That was so out of pocket' is a slang phrase used to express shock, disbelief, or disapproval of someone's actions or words. It implies that the person's behavior was inappropriate, disrespectful, or unexpected.", "concern_level": 0, "moderation_action": "No action needed.", "confidence": 0.9 }
Bro got owned	The term 'Bro got owned' is a slang expression that means someone has been defeated or humiliated in a decisive way. It is often used in a playful or humorous way, but it can also be used to express genuine satisfaction or approval. The term is typically used in the context of a competition or rivalry, such as a sports game or a video game match.	0	No action is necessary.	0.8	success	N/A	{ "interpretation": "The term 'Bro got owned' is a slang expression that means someone has been defeated or humiliated in a decisive way. It is often used in a playful or humorous way, but it can also be used to express genuine satisfaction or approval. The term is typically used in the context of a competition or rivalry, such as a sports game or a video game match.", "concern_level": 0, "moderation_action": "No action is necessary.", "confidence": 0.8 }
You’re slaying, periodt	The term 'You’re slaying, periodt' is a slang phrase that means someone is doing something well. It is often used to express admiration or approval. The term 'period' is added to the end for emphasis.	0	No action needed	0.8	success	N/A	{ "interpretation": "The term 'You’re slaying, periodt' is a slang phrase that means someone is doing something well. It is often used to express admiration or approval. The term 'period' is added to the end for emphasis.", "concern_level": 0, "moderation_action": "No action needed", "confidence": 0.8 }
You’re such a pick me	'You’re such a pick me' is a recently trending online insult that is directed towards women who are seen as trying to get male attention through putting down other women, or acting submissive or helpless. By saying 'you're such a pick me', the accuser is suggesting that the person they are speaking to is only trying to get attention from men, and will do anything, even if it means putting down other women. This term is often used in a mocking or sarcastic way, and can be very hurtful to the person it is directed towards.	0.5	As a content moderator, I would recommend flagging any content that uses this term in a derogatory or hurtful way. While the term itself is not inherently harmful, it can be used to target and bully women, and should not be tolerated.	0.8	success	N/A	{ "interpretation": "'You’re such a pick me' is a recently trending online insult that is directed towards women who are seen as trying to get male attention through putting down other women, or acting submissive or helpless. By saying 'you're such a pick me', the accuser is suggesting that the person they are speaking to is only trying to get attention from men, and will do anything, even if it means putting down other women. This term is often used in a mocking or sarcastic way, and can be very hurtful to the person it is directed towards.", "concern_level": 0.5, "moderation_action": "As a content moderator, I would recommend flagging any content that uses this term in a derogatory or hurtful way. While the term itself is not inherently harmful, it can be used to target and bully women, and should not be tolerated.", "confidence": 0.8 }
You are my pookie	'You are my pookie' is a term of endearment, often used between romantic partners. It can be interpreted as a way of expressing love, affection, and intimacy.	0	no moderation action required	1.0	success	N/A	{ "interpretation": "'You are my pookie' is a term of endearment, often used between romantic partners. It can be interpreted as a way of expressing love, affection, and intimacy.", "concern_level": 0, "moderation_action": "no moderation action required", "confidence": 1.0 }
You’re such a queen	The term 'You're such a queen' is a slang expression used to compliment someone, typically a woman, for being strong, confident, and fabulous	0	no moderation action is necessary	1	success	N/A	{ "interpretation": "The term 'You're such a queen' is a slang expression used to compliment someone, typically a woman, for being strong, confident, and fabulous", "concern_level": 0, "moderation_action": "no moderation action is necessary", "confidence": 1 }
